id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14091093,Bright Spacious 2BR 18 Min Time Square 1 FL 9Guest,33164249,Kevin & David,,Ward D (councilmember Michael Yun),40.7497,-74.04523,Entire home/apt,50,3,190,2020-12-22,3.28,13,232
14095258,Bright Neat 2BR 18 Min Time Square 2nd FL 8 Guest,33164249,Kevin & David,,Ward D (councilmember Michael Yun),40.7497,-74.04523,Entire home/apt,47,3,178,2021-03-18,3.08,13,231
14139924,Spacious Jersey City 2 Bedroom Apt w/Pool & WiFi,9419684,Churchill,,Ward E (councilmember James Solomon),40.72413,-74.03658,Entire home/apt,249,27,7,2019-03-06,0.12,45,365
14157160,Beautiful private bedroom in a 2bed,28449570,Boubacar,,Ward F (councilmember Jermaine D. Robinson),40.71079,-74.06496,Private room,40,3,78,2019-10-28,1.35,1,0
14198381,Gorgeous 2BD/2BA - Monaco Building NYC Views,86123296,Amit,,Ward E (councilmember James Solomon),40.72497,-74.03578,Entire home/apt,350,30,3,2016-09-29,0.05,3,89
14215199,Room available 15 mins commute away from NYC,86123296,Amit,,Ward E (councilmember James Solomon),40.72388,-74.03738,Private room,300,30,0,,,3,89
14215402,Gorgeous Master bedroom w/ attached Bath,86123296,Amit,,Ward E (councilmember James Solomon),40.72375,-74.03621,Private room,320,30,2,2016-09-25,0.04,3,364
14282733,"2 bdrm private apt in great area, 7 min-NYC",50554576,Raghu,,Ward E (councilmember James Solomon),40.71764,-74.04356,Entire home/apt,140,4,46,2021-04-12,1.29,1,155
14283786,2 Bedroom Condo,87170074,Donte,,Ward F (councilmember Jermaine D. Robinson),40.71176,-74.06262,Private room,40,2,28,2018-08-31,0.51,1,43
14398322,Airy oversized room $55_3 blocks Grove PATH,55599663,Lorraine,,Ward F (councilmember Jermaine D. Robinson),40.72023,-74.04854,Private room,55,5,21,2020-03-17,0.37,3,170
14539951,Wicked Awesome 1 Bedroom Loft Style,89961333,Larry,,Ward F (councilmember Jermaine D. Robinson),40.70907,-74.06044,Entire home/apt,495,1,0,,,1,0
14874590,Loft 3bd 2ba 5 Steps To Train NYC,91382887,Daniel,,Ward F (councilmember Jermaine D. Robinson),40.70969,-74.07283,Entire home/apt,137,28,208,2020-07-26,3.68,4,149
14929653,Harrison Condo,93873809,Barbara,,Ward B (councilmember Mira Prinz-Arey),40.72062,-74.07824,Private room,75,3,22,2019-10-15,0.40,1,179
15159153,Bright + Spacious 1BR | Work Desk&WiFi | Near PATH,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72153,-74.03717,Entire home/apt,163,4,12,2020-09-23,0.22,37,365
15159490,*Beautiful 2BR | Kitchen | Jersey City by GLS,30283594,Global Luxury Suites,,Ward E (councilmember James Solomon),40.72144,-74.036,Entire home/apt,278,27,3,2020-01-26,0.14,37,248
15177396,Lovely 1 BRM APT 20 mins from NYC!!,20580419,Liliana,,Ward D (councilmember Michael Yun),40.75147,-74.05232,Entire home/apt,49,2,124,2021-01-16,2.24,3,327
15369899,Bluebird JC  1-BR | Liberty Science Center,95459395,Bluebird,,Ward E (councilmember James Solomon),40.72165,-74.03554,Entire home/apt,329,27,1,2020-10-31,0.16,51,364
15406114,Cozy Studio 20 Minutes to Midtown NYC,22541573,Ken,,Ward E (councilmember James Solomon),40.71992,-74.04283,Entire home/apt,125,30,5,2020-12-21,0.10,12,263
15461308,Beautiful 1BR Apartment | Jersey City NJ  | by GLS,95459395,Bluebird,,Ward E (councilmember James Solomon),40.72275,-74.03726,Entire home/apt,163,2,8,2020-11-11,0.16,51,282
15495275,Downtown JC 1BR | Gym + Workspace | Full Kitchen,95459395,Bluebird,,Ward E (councilmember James Solomon),40.72436,-74.03614,Entire home/apt,169,7,4,2020-12-02,0.24,51,343
