id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32171713,Modern 3BDR 4 blocks from beach for families & WFH,240059340,Matteo,,Pacific Beach,32.80516,-117.25358,Entire home/apt,416,5,58,2021-06-21,2.24,1,157
32182828,Self Checkin APT C checkout No contact  Gaslamp,38196811,Jo,,Gaslamp Quarter,32.71425,-117.16009,Entire home/apt,99,3,83,2021-07-05,4.61,6,289
32186881,Spacious master bedroom for rent weekly,238955122,Wei,,Mira Mesa,32.90733,-117.15838,Private room,54,30,2,2021-06-16,0.12,3,312
32188123,Nice bedroom with private bathroom for rent weekly,238955122,Wei,,Mira Mesa,32.90961,-117.15923,Private room,48,5,27,2021-07-11,0.93,3,316
32191654,Windansea Beach Studio of Aloha,2360936,Ozstar & Robin,,La Jolla,32.83094,-117.27879,Entire home/apt,165,2,82,2021-06-13,3.02,1,281
32216519,Hamilton I by AvantStay | Beach House! | Rooftop Deck |Newly Renovated Bungalow,130904349,AvantStay,,La Jolla,32.83616,-117.27698,Entire home/apt,660,1,57,2021-06-11,2.98,36,300
32216521,Hamilton II by AvantStay | Beach House | Rooftop Deck | Newly Renovated Bungalow,130904349,AvantStay,,La Jolla,32.83575,-117.27668,Entire home/apt,537,1,35,2021-07-09,1.20,36,263
32241831,Steps From The Beach  Ocean Views Sleeps Up To 19,22012010,Edgar,,Mission Bay,32.77879,-117.2521,Entire home/apt,1644,3,2,2019-09-23,0.09,35,275
32267629,Unique vintage artist's loft,11786699,Jessica,,Core,32.71756,-117.15752,Entire home/apt,110,5,2,2019-02-24,0.07,1,9
32271736,"* Mermaid Cove + Bikes, AC, & Parking!",25519858,Janet & Scott,,Mission Bay,32.78136,-117.25309,Entire home/apt,334,2,116,2021-06-30,4.10,22,328
32293782,Serenity in this hidden charm,65088096,Donna,,Clairemont Mesa,32.80357,-117.17756,Private room,85,1,7,2021-07-05,0.28,1,257
32305804,Private Room in Carmel Valley,242509487,Greg,,Carmel Valley,32.95206,-117.22776,Private room,65,7,42,2020-01-16,1.86,1,42
32307524,Heavenly home for all.,229250762,Emily And Phillipe,,University City,32.84812,-117.20349,Private room,70,7,1,2020-11-20,0.13,3,259
32317101,Large Sun Deck w/Quick Access to the Beach by 710 Vacation Rentals,88168913,710 Vacation,,Mission Bay,32.76155,-117.25124,Entire home/apt,583,1,8,2021-04-26,0.30,190,337
32317347,Gaslamp/Convention Ctr/Petco  4-bd 4-bth - 7  beds,48413460,JD & Tina,,East Village,32.71381,-117.155,Entire home/apt,529,3,58,2021-07-01,2.28,3,25
32327687,Nice Private Space,210703947,Jimmy,,Mira Mesa,32.90752,-117.14631,Private room,52,2,48,2021-05-10,2.07,1,49
32330801,Welcome to Henri’s Holistic Heaven,242729692,Henri,,Northwest,32.62808,-117.06506,Private room,173,1,0,,,1,180
32335194,NEWLY REMODELED 5-star getaway in Mission Beach,5002314,Jeff,,Mission Bay,32.76364,-117.25283,Entire home/apt,333,2,67,2021-06-25,2.37,16,131
32337373,Brand New ★ Walk to Beach ★ A/C ★ 3 Levels,3017970,Surf Style,,La Jolla,32.85272,-117.25414,Entire home/apt,604,3,12,2021-01-31,0.44,105,144
32337570,North Park Modern Town home,242787378,Tamra,,West University Heights,32.7555,-117.14065,Private room,89,4,10,2021-03-29,0.34,1,255
32337575,⭐️Condo with 2 Beds and Ocean View ⭐️Little Italy,191135924,Adam,,Little Italy,32.72269,-117.16762,Entire home/apt,205,3,144,2021-07-11,4.95,5,126
32337883,Master Bedroom Private Bath in Single Family House,94734587,Richard,,Mira Mesa,32.90663,-117.12801,Private room,48,1,26,2021-07-07,1.17,2,88
32359299,Stunning studio in the heart of La Jolla,23579370,Alana & Brent,,La Jolla,32.84417,-117.26828,Entire home/apt,133,1,163,2021-07-07,6.51,2,276
32361480,* Endless Summer Villa  Steps to the Beach + Bikes,25519858,Janet & Scott,,Mission Bay,32.78029,-117.25217,Entire home/apt,341,2,112,2021-06-30,4.71,22,340
32382235,Mission Beach Cottage 100 steps from the sand,11743754,Aaron,,Mission Bay,32.78843,-117.25402,Entire home/apt,173,3,50,2021-06-20,2.86,2,309
32398683,The Nest,109373557,Deniece,,Park West,32.72841,-117.16597,Entire home/apt,293,3,52,2021-07-03,12.09,1,315
32403397,Refund adjustment Policy,81760357,Jeremy & Nadia,,Mission Bay,32.77665,-117.25319,Entire home/apt,2399,999,4,2020-01-13,0.14,3,192
32404527,Spectacular Chula Vista House with Backyard Oasis!,126644161,Evolve Vacation Rental,,Northwest,32.65328,-117.07508,Entire home/apt,963,5,45,2021-06-13,1.85,32,118
32405452,Private Room in Downtown at Victorian House,3324885,Bobby,,Cortez Hill,32.72154,-117.16529,Private room,95,1,12,2021-02-23,0.92,7,180
32408419,Soledad by AvantStay | Beachside Haven in La Jolla - Ocean Views!,130904349,AvantStay,,La Jolla,32.84414,-117.27941,Entire home/apt,544,1,68,2021-06-02,3.32,36,277
32410833,Beautiful Studio on the water in Shelter Island!,243400275,Taila,,Wooded Area,32.71933,-117.23219,Entire home/apt,190,14,2,2021-02-08,0.07,1,364
32421457,#4053 Stylish North Park Suite BY Balboa Park Zoo!,57066133,Francesca,,Midtown,32.7484,-117.15172,Entire home/apt,143,2,18,2020-03-15,0.81,15,324
32430481,"Crown Point Cottage Studio w/ AC, Bikes. Close2Bay",88977183,Ryan,,Mission Bay,32.78701,-117.23702,Entire home/apt,149,2,141,2021-07-13,6.62,1,107
32446441,NEWLY REMODELED upscale escape in Mission Beach,5002314,Jeff,,Mission Bay,32.76422,-117.25261,Entire home/apt,280,2,92,2021-06-13,3.49,16,135
32447017,"Clean Cozy Casita - Walk to Beach, Shops & Dining!",243748432,Marialy And John,,Ocean Beach,32.73789,-117.25181,Entire home/apt,204,3,70,2021-07-10,2.88,1,201
32450431,The Penthouse *Talmadge & Kensington* Mid-City SD,45328089,Kevin,,Talmadge,32.75929,-117.09979,Entire home/apt,89,1,132,2021-07-12,5.18,6,55
32454360,Family Vacation Loft I Pool I Jacuzzi I Parking,22830845,Cc,,University City,32.87403,-117.20535,Entire home/apt,279,2,57,2021-06-10,2.09,11,54
32459792,Designer 2BR in the Heart of Pacific Beach (w A/C),175594334,Jocelyn & Carlton,,Pacific Beach,32.7963,-117.24934,Entire home/apt,239,3,10,2020-12-06,0.53,4,295
32463508,"Cozy home near Downtown, Zoo, Balboa Park, Airport",243441276,Elizabeth,,Mount Hope,32.70739,-117.119,Entire home/apt,157,2,140,2021-07-07,5.51,1,93
32468033,High end design & designer selection one bedroom.,220642836,P&D,,University City,32.86774,-117.22704,Entire home/apt,111,5,30,2020-12-31,1.27,2,7
32472301,3 Exclusive Patios * A/C * 3 Parking * Dogs OK,3017970,Surf Style,,Mission Bay,32.78276,-117.25188,Entire home/apt,704,3,10,2021-05-08,0.35,105,281
32473526,4 Outdoor Areas * A/C * 5 Parking * Pets ok,3017970,Surf Style,,Mission Bay,32.78276,-117.25188,Entire home/apt,1242,3,3,2021-04-26,0.12,105,142
32475629,Brand New Cozy Detached Casita w/AC & heat,2957263,Trey,,Pacific Beach,32.8058,-117.23042,Entire home/apt,184,2,60,2021-06-26,3.59,1,104
32477504,Comic Com Mission Valley,140158300,Mary,,Mission Valley,32.76574,-117.15859,Entire home/apt,200,6,1,2019-07-23,0.04,6,163
32490523,"cute cozy comfy clean studio B near SDSU, centeral",215746618,Shawn,,College Area,32.77151,-117.06283,Entire home/apt,80,5,38,2021-05-24,1.53,13,56
32497274,"Classic 3/1 beach house, half block to beach",8428370,Jim & Sha-Marie,,Ocean Beach,32.74905,-117.2511,Entire home/apt,249,3,74,2021-07-12,2.54,2,233
32500147,"Private Cozy Clean, close to EVERYTHING",1532870,David,,Normal Heights,32.75924,-117.11872,Entire home/apt,130,2,110,2021-07-01,4.87,1,277
32504429,"Heated Private Pool & Lg Jacuzzi, Cardinal House",2238362,John,,Bird Land,32.78265,-117.15643,Entire home/apt,275,6,12,2021-06-27,0.45,2,43
32519818,"Pacific Beach Room Blocks 2 Mission Bay, Open Home",2503251,Laura & Viva Beach Life,,Mission Bay,32.79372,-117.23447,Private room,23,1,0,,,7,317
32520353,Pacific Beach Front Rm; Shared 2nd Master Bath 3EW,2503251,Laura & Viva Beach Life,,Mission Bay,32.79372,-117.23447,Private room,21,1,0,,,7,319
32520898,Mission Bay/Beach w/ Enc. Side Patio Rm/MasterBath,2503251,Laura & Viva Beach Life,,Mission Bay,32.79372,-117.23447,Private room,20,1,2,2019-10-04,0.08,7,319
32520951,Fun in The Sun - your Ocean Beach destination!,113421970,La Jolla,,Loma Portal,32.75007,-117.24185,Entire home/apt,372,1,34,2020-12-23,1.23,59,304
32522780,☼PRIVATE DOWNTOWN STUDIO ♥ ENJOY ☼,220228547,Jon,,Cortez Hill,32.72218,-117.15652,Private room,111,1,70,2020-05-12,2.67,3,71
32547755,Private Room in a quiet La Jolla Townhouse,73852036,Jeanine,,La Jolla Village,32.856,-117.23418,Private room,55,30,1,2021-05-15,0.48,4,74
32555566,Stunning Contemporary in Pacific Beach,101975564,Tatiana,,Pacific Beach,32.81029,-117.22501,Entire home/apt,327,3,66,2021-06-30,2.43,1,206
32560591,Coronado-View Rooftop Deck! Posh Point Loma Condo,111987545,TurnKey Vacation Rentals,,Roseville,32.7278,-117.22994,Entire home/apt,151,30,2,2021-01-03,0.12,36,242
32571452,BeachSide Getaway 3,3017970,Surf Style,,Mission Bay,32.77502,-117.25334,Entire home/apt,2700,3,0,,,105,137
32575975,Belmont by AvantStay | 3BR Home on Mission Beach! Ocean Views!,130904349,AvantStay,,Mission Bay,32.76512,-117.25103,Entire home/apt,1062,1,38,2021-06-23,1.79,36,329
32581033,"Updated, Contemporary Home w/ Bay Views Near Gaslamp",111987545,TurnKey Vacation Rentals,,Southcrest,32.68846,-117.10904,Entire home/apt,100,2,34,2021-07-14,1.21,36,27
32592520,HIGH-RISE/Heart of Downtown/Petco 1 BD w/Free pkg,35661214,John,,Core,32.71727,-117.15556,Entire home/apt,227,1,144,2021-06-29,5.71,19,355
